# Injection truth table -- cmf2.00_n600_s2030_iso  seed=2030
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.099 M_sun
# 600 cores assigned to 66 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.099 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.227 versus 1.243, median |log10 ratio| 0.010 dex
# drawn observed size versus node size FWHMSDbs: median 39.2 versus 41.4 arcsec, median |log10 ratio| 0.065 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.10e+21, 95th 1.36e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.81 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.55 +/- 0.17  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  182  i01j06k07       866    163    3.660e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  183  i01j06k07       171    939    3.951e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  184  i01j06k07       739     42    3.360e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  185  i01j07k07       372    751    4.184e+21    3.000e+21   12.94    4.994e-20  0.1047    26.48    41.65  1
  186  i01j07k07       437    670    4.476e+21    3.000e+21   12.94    4.994e-20  0.1047    26.48    41.65  1
  187  i01j07k07       937    191    3.192e+21    3.000e+21   12.94    4.994e-20  0.1047    26.48    41.65  1
  188  i01j07k07       263    905    4.504e+21    3.000e+21   12.94    4.994e-20  0.1047    26.48    41.65  1
  189  i01j07k07       435    698    4.501e+21    3.000e+21   12.94    4.994e-20  0.1047    26.48    41.65  1
  190  i01j05k07       351    812    4.129e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  191  i01j05k07       173    912    3.973e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  192  i01j05k07       607    127    3.962e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  193  i01j05k07       770    340    4.129e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  194  i01j05k07       797    316    3.369e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  195  i01j05k07       939    257    3.019e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  196  i01j05k07       125    916    4.336e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  197  i01j05k07       264    939    3.999e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  198  i01j05k07       838    939    4.230e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  199  i01j05k07       553    156    4.286e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  200  i01j05k07       938    873    4.375e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  201  i01j05k07       616    207    4.381e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
