# Injection truth table -- cmf2.00_n600_s2029_flat  seed=2029
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 355 of 517 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.1 M_sun
# 600 cores assigned to 83 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.1 versus 0.0623 M_sun, median |log10 ratio| 0.191 dex
# drawn contrast versus node contrast at the drawn column: median 1.223 versus 1.236, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 42.0 arcsec, median |log10 ratio| 0.062 dex
# target background column: median 5.06e+21 cm^-2 (5th 3.09e+21, 95th 1.52e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.55 +/- 0.09  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.58 +/- 0.15  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  107  i01j07k08       666    915    3.716e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  108  i01j07k08       466    664    4.120e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  109  i01j07k08       410    857    4.196e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  110  i01j07k08       910    175    2.697e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  111  i01j07k08       271    930    3.959e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  112  i01j07k08       820    336    3.607e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  113  i01j07k08       902    265    2.748e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  114  i01j07k08       630    189    4.254e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  115  i01j07k08       343    759    3.952e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  116  i01j07k08       823    156    4.032e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  117  i01j07k08       827    109    3.016e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  118  i01j08k08       615     42    4.130e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    70.20  1
  119  i01j08k08       784    134    4.195e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    70.20  1
  120  i01j08k08       608    133    3.950e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    70.20  1
  121  i01j08k08       343    829    4.223e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    70.20  1
  122  i01j08k08       186    842    4.228e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    70.20  1
  123  i01j08k08       452    840    4.369e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    70.20  1
  124  i01j08k08       657    139    4.046e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    70.20  1
  125  i01j06k08       745    275    3.529e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  126  i01j06k08       888    310    2.980e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  127  i01j06k08       660     48    3.280e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  128  i01j06k08       937    319    3.482e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  129  i01j06k08       698    791    4.226e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  130  i01j06k08       548     39    4.251e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  131  i01j06k08       838    937    4.268e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  132  i01j06k08       928     46    2.843e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  133  i01j06k08       868    159    3.418e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  134  i01j06k08       933    122    2.862e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  135  i01j06k08       721     48    3.152e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  136  i01j06k08       784    297    3.222e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  137  i01j06k08       883     44    2.801e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  138  i01j06k08       743    102    3.381e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  139  i01j06k08       765     39    3.145e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  140  i01j06k08       815     55    3.093e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  141  i01j06k08       858    231    3.124e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    69.13  1
  142  i03j14k07       244    368    1.781e+22    1.200e+22    9.07    4.203e-19  2.1090    89.47    48.30  1
  143  i04j14k07       285    285    3.558e+22    2.400e+22    8.29    3.863e-19  2.1087    99.15    47.33  1
  144  i04j12k07       174    443    2.260e+22    2.400e+22    8.38    2.950e-19  0.8944    45.31    47.09  1
  145  i04j11k07       214    302    2.377e+22    2.400e+22    8.44    2.302e-19  0.5823    36.29    46.10  1
  146  i03j11k07       132    203    1.905e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.79  1
  147  i03j11k07       299    222    1.237e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.79  1
  148  i03j11k07       526    316    1.508e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.79  1
  149  i02j11k07       845    817    9.733e+21    6.000e+21   10.36    2.427e-19  0.5823    33.76    45.52  1
  150  i04j10k07       216    536    1.917e+22    2.400e+22    8.51    1.667e-19  0.3795    31.58    44.25  1
  151  i03j10k07       144    632    1.082e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    43.89  1
  152  i03j10k07       164    535    1.610e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    43.89  1
  153  i03j10k07       316    501    1.508e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    43.89  1
  154  i03j10k07       539    732    1.212e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    43.89  1
  155  i03j10k07        68    623    1.451e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    43.89  1
  156  i02j10k07       515    164    7.368e+21    6.000e+21   10.67    1.710e-19  0.3794    30.14    43.78  1
  157  i03j09k07       640    479    1.218e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  158  i03j09k07       140    495    1.698e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  159  i03j09k07        93    664    1.181e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  160  i03j09k07       294    396    1.041e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  161  i03j09k07       562    373    1.246e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  162  i03j09k07       838    757    1.259e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  163  i03j09k07       147    388    1.176e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  164  i03j09k07        58    711    1.028e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.05  1
  165  i02j09k07       933    436    7.871e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  166  i02j09k07       367    454    9.249e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  167  i02j09k07       774    585    8.811e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  168  i02j09k07       701    575    8.592e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  169  i02j09k07       138    679    8.764e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  170  i02j09k07       379    188    8.495e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  171  i02j09k07       179    672    6.750e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  172  i02j09k07       441    312    8.186e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  173  i02j09k07       285    623    5.327e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  174  i02j09k07       837    921    5.223e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  175  i02j09k07       541    543    8.804e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  176  i02j09k07        46    860    8.584e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  177  i02j09k07       836    627    7.829e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  178  i02j09k07       465    585    8.564e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  179  i02j09k07       908    903    5.146e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  180  i02j09k07        95    860    6.508e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.68  1
  181  i03j08k07       407    512    1.285e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  182  i03j08k07       142    278    1.224e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  183  i03j08k07        71    585    9.572e+21    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  184  i03j08k07       804    736    1.248e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  185  i03j08k07       537    403    1.202e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  186  i03j08k07       886    542    9.745e+21    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  187  i03j08k07       264    536    9.760e+21    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  188  i03j08k07       431    364    1.111e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.50  1
  189  i03j06k07        79    529    8.831e+21    1.200e+22    9.99    3.111e-20  0.0683    26.74    42.46  1
  190  i03j07k07       586    723    9.757e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.40  1
  191  i03j07k07       506    214    8.824e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.40  1
  192  i03j07k07       234    111    9.777e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.40  1
  193  i03j07k07       308     94    9.136e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.40  1
  194  i03j07k07       434    249    9.441e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.40  1
  195  i03j07k07       245     65    9.936e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.40  1
  196  i02j08k07       528    270    9.141e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.24  1
  197  i02j08k07       251    685    5.608e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.24  1
  198  i02j08k07       328    545    9.508e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.24  1
  199  i02j08k07        58     91    9.298e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.24  1
  200  i02j08k07       584    928    5.050e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.24  1
  201  i02j08k07       726    721    5.589e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.24  1
