  ID   i   j   k    SD_emb    T_BE       M_BE  FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
  25   1   4   8  4.24e+21  12.546     0.1048   0.0936   0.7670     1.100  7.634e+20     1.180      1    0  1.1147e-20  1.0134e-20  1.9598e-21   14628.53   11219.64   336589.24 4.6324e+21   30.89   sub
  26   1   4   9  4.24e+21  12.699     0.1048   0.1529   0.5982     1.060  3.035e+20     1.072      0    0  2.7190e-21  2.5643e-21  1.2335e-21   29798.78   17825.51   534765.16 4.3955e+21   62.54   sub
  27   1   5   1  4.24e+21   6.785     0.2471   0.0030  45.9385  1260.036  1.890e+22     5.454      1    0  1.2482e-16  9.9060e-20  4.7084e-21     101.66    4670.08   140102.38 1.2620e+23    1.67  deep
  28   1   5   2  4.24e+21   7.118     0.2471   0.0049  23.5532   319.806  2.067e+22     5.872      1    0  4.8196e-17  1.5070e-19  5.5714e-21     167.56    3946.67   118399.95 8.0957e+22    1.45  deep
  29   1   5   3  4.24e+21   7.606     0.2471   0.0080  11.4414    58.737  2.151e+22     6.070      1    0  1.7905e-17  3.0484e-19  6.7625e-21     284.19    3251.56    97546.69 5.1133e+22    1.13 super
  30   1   5   4  4.24e+21   8.321     0.2471   0.0131   6.0336    11.948  2.004e+22     5.724      1    0  6.0591e-18  5.0711e-19  7.1320e-21     510.98    3083.09    92492.64 3.0688e+22    1.00   sub
  31   1   5   5  4.24e+21   9.300     0.2471   0.0214   3.6538     4.051  1.580e+22     4.724      1    0  1.8505e-18  4.5682e-19  6.1566e-21     977.50    3571.55   107146.60 1.7649e+22    1.25   sub
  32   1   5   6  4.24e+21  10.491     0.2471   0.0350   2.3966     2.126  9.557e+21     3.253      1    0  4.8504e-19  2.2818e-19  4.5244e-21    2027.90    4860.03   145800.92 1.0153e+22    2.11   sub
  33   1   5   7  4.24e+21  11.566     0.2471   0.0572   1.6715     1.507  4.395e+21     2.036      1    0  1.1473e-19  7.6119e-20  3.0047e-21    4378.06    7318.05   219541.55 6.6001e+21    4.23   sub
  34   1   5   8  4.24e+21  12.241     0.2471   0.0936   1.2296     1.264  1.782e+21     1.420      1    0  2.6715e-20  2.1129e-20  1.9160e-21    9333.71   11476.56   344296.90 5.1550e+21    8.75   sub
  35   1   5   9  4.24e+21  12.574     0.2471   0.1529   0.9311     1.149  6.872e+20     1.162      1    0  6.1331e-21  5.3396e-21  1.1962e-21   19742.81   18382.46   551473.83 4.5890e+21   18.11   sub
  36   1   5  10  4.24e+21  12.712     0.2471   0.2500   0.7196     1.088  2.651e+20     1.062      0    0  1.4430e-21  1.3265e-21  7.4659e-22   40926.30   29452.16   883564.71 4.3756e+21   36.94   sub
  37   1   6   3  4.24e+21   7.473     0.5825   0.0080  37.7390   855.825  2.520e+22     6.939      1    0  2.1501e-17  2.5124e-20  2.2666e-21     257.06    9701.12   291033.63 5.7225e+22    1.62  deep
  38   1   6   4  4.24e+21   8.048     0.5825   0.0131  17.4716   163.022  2.595e+22     7.117      1    0  7.7917e-18  4.7795e-20  2.8400e-21     443.15    7742.59   232277.65 3.6747e+22    1.32  deep
  39   1   6   5  4.24e+21   8.800     0.5825   0.0214   8.2354    25.744  2.280e+22     6.374      1    0  2.6434e-18  1.0268e-19  3.3561e-21     795.58    6551.90   196557.07 2.3062e+22    1.03 super
  40   1   6   6  4.24e+21   9.701     0.5825   0.0350   4.7181     6.793  1.620e+22     4.818      1    0  8.7430e-19  1.2871e-19  3.2088e-21    1452.43    6852.67   205580.10 1.4489e+22    1.06   sub
  41   1   6   7  4.24e+21  10.756     0.5825   0.0572   3.0103     2.912  8.872e+21     3.091      1    0  2.4762e-19  8.5048e-20  2.5417e-21    2873.80    8651.08   259532.49 9.0859e+21    1.52   sub
  42   1   6   8  4.24e+21  11.710     0.5825   0.0936   2.0644     1.805  3.907e+21     1.921      1    0  6.0832e-20  3.3703e-20  1.7606e-21    6049.75   12489.02   374670.51 6.2527e+21    2.75   sub
  43   1   6   9  4.24e+21  12.310     0.5825   0.1529   1.5012     1.403  1.563e+21     1.368      1    0  1.4262e-20  1.0166e-20  1.1434e-21   12810.12   19230.86   576925.91 5.0312e+21    5.39   sub
  44   1   6  10  4.24e+21  12.602     0.5825   0.2500   1.1293     1.221  6.011e+20     1.142      1    0  3.2830e-21  2.6879e-21  7.2075e-22   27015.07   30508.03   915240.82 4.5441e+21   10.87   sub
  45   1   7   4  4.24e+21   7.884     1.3733   0.0131  58.9296  2027.559  2.730e+22     7.435      1    0  9.8558e-18  4.8609e-21  9.5681e-22     389.98   22981.22   689436.61 4.1284e+22    1.70  deep
