# Injection truth table -- cmf2.00_n600_s2031_flat  seed=2031
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.0949 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 71 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.0949 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.220 versus 1.238, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 41.4 arcsec, median |log10 ratio| 0.063 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.08e+21, 95th 1.34e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.51 +/- 0.16  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  103  i02j07k08       175    794    4.613e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  104  i02j07k08       549    600    5.314e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  105  i02j07k08       631    275    5.872e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  106  i02j07k08       506    120    7.281e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  107  i02j07k08       805    206    5.191e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  108  i02j07k08        95    890    5.424e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  109  i02j07k08       602    625    5.712e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  110  i02j07k08       441    705    4.664e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  111  i02j07k08       546    655    4.952e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  112  i02j07k08       528     79    6.099e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  113  i02j07k08       702    260    5.822e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  114  i02j07k08       880    789    5.562e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  115  i02j07k08       379    825    4.373e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  116  i02j07k08       678    292    5.645e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  117  i02j07k08       142    924    4.351e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  118  i02j07k08       731    869    5.785e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  119  i02j07k08       853    597    6.333e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  120  i01j06k08       621    887    4.207e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  121  i01j06k08       751    117    3.807e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
