! Date: 14/08/2026  Time: 20:22:17  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.19813277E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
  111  8.5762825E+04  4.1578419E-01  3.2985702E+02  1.4374723E+21  8.4592633E-02  1.0000000E-99  1.0000000E-99
  112  8.6542159E+04  4.1956246E-01  3.3285446E+02  1.4363049E+21  8.6309849E-02  1.0000000E-99  1.0000000E-99
  113  8.7321493E+04  4.2334072E-01  3.3585189E+02  1.4351260E+21  8.8048483E-02  1.0000000E-99  1.0000000E-99
  114  8.8100827E+04  4.2711899E-01  3.3884933E+02  1.4339356E+21  8.9808715E-02  1.0000000E-99  1.0000000E-99
  115  8.8880160E+04  4.3089725E-01  3.4184677E+02  1.4327336E+21  9.1590728E-02  1.0000000E-99  1.0000000E-99
  116  8.9659494E+04  4.3467552E-01  3.4484421E+02  1.4315200E+21  9.3394707E-02  1.0000000E-99  1.0000000E-99
  117  9.0438828E+04  4.3845379E-01  3.4784165E+02  1.4302947E+21  9.5220842E-02  1.0000000E-99  1.0000000E-99
  118  9.1218162E+04  4.4223205E-01  3.5083909E+02  1.4290578E+21  9.7069325E-02  1.0000000E-99  1.0000000E-99
  119  9.1997496E+04  4.4601032E-01  3.5383652E+02  1.4278091E+21  9.8940351E-02  1.0000000E-99  1.0000000E-99
  120  9.2776830E+04  4.4978858E-01  3.5683396E+02  1.4265487E+21  1.0083412E-01  1.0000000E-99  1.0000000E-99
  121  9.3556164E+04  4.5356685E-01  3.5983140E+02  1.4252766E+21  1.0275083E-01  1.0000000E-99  1.0000000E-99
  122  9.4335498E+04  4.5734511E-01  3.6282884E+02  1.4239927E+21  1.0469069E-01  1.0000000E-99  1.0000000E-99
  123  9.5114832E+04  4.6112338E-01  3.6582628E+02  1.4226969E+21  1.0665392E-01  1.0000000E-99  1.0000000E-99
  124  9.5894166E+04  4.6490164E-01  3.6882371E+02  1.4213893E+21  1.0864071E-01  1.0000000E-99  1.0000000E-99
  125  9.6673500E+04  4.6867991E-01  3.7182115E+02  1.4200697E+21  1.1065130E-01  1.0000000E-99  1.0000000E-99
  126  9.7452834E+04  4.7245818E-01  3.7481859E+02  1.4187383E+21  1.1268589E-01  1.0000000E-99  1.0000000E-99
  127  9.8232168E+04  4.7623644E-01  3.7781603E+02  1.4173949E+21  1.1474471E-01  1.0000000E-99  1.0000000E-99
  128  9.9011501E+04  4.8001471E-01  3.8081347E+02  1.4160395E+21  1.1682800E-01  1.0000000E-99  1.0000000E-99
