# Injection truth table -- cmf2.00_n400_s2026  seed=2026
# sep_criterion=90.0"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  scale
#-------------------------------------------------------------------------------------------------------
  167  i02j06k06       678    614    8.211e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  168  i02j06k06       602    460    7.501e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  169  i02j06k06       462    199    8.421e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  170  i02j06k06       478     50    8.127e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  171  i02j06k06       779    188    8.341e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  172  i01j06k06       334    911    4.116e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  173  i01j06k06       553    937    4.205e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  174  i01j06k06       871    295    3.124e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  175  i01j06k06       424    889    4.232e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  176  i01j06k06       828    200    4.290e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  177  i01j06k06       316    724    3.969e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  178  i01j06k06       936    275    3.022e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  179  i01j06k06       618    121    3.791e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  180  i01j06k06       877    164    3.027e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  181  i01j06k06       240    877    4.318e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  182  i01j06k06       941    157    3.003e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  183  i01j06k06       940     66    3.044e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  184  i01j06k06       826    937    4.215e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  185  i01j06k06       388    883    4.207e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  186  i01j06k06       941    579    4.113e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  187  i01j06k06       764    939    4.263e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  188  i01j06k06       262    836    3.996e+21    3.000e+21   12.44    1.404e-19  0.0682    16.31  1
  189  i03j04k06       221    557    1.707e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  190  i03j04k06       245    517    1.522e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  191  i03j04k06       139    463    1.663e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  192  i03j04k06        38    216    1.433e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  193  i03j04k06       672    481    1.600e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  194  i03j04k06       184    425    1.695e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  195  i03j04k06       140    156    1.301e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  196  i03j04k06       493    393    1.668e+22    1.200e+22    9.97    6.004e-20  0.0290    16.01  1
  197  i01j05k06       583    207    4.230e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  198  i01j05k06       359    789    4.115e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  199  i01j05k06       285    622    4.242e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
