! Date: 08/09/2026  Time: 12:05:46  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.31113857E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
  111  9.1373235E+03  4.4298385E-02  3.5143552E+01  1.9168893E+23  3.1023055E-03  1.0000000E-99  1.0000000E-99
  112  9.2203767E+03  4.4701033E-02  3.5462987E+01  1.9168324E+23  3.1604702E-03  1.0000000E-99  1.0000000E-99
  113  9.3034300E+03  4.5103682E-02  3.5782423E+01  1.9167750E+23  3.2191802E-03  1.0000000E-99  1.0000000E-99
  114  9.3864833E+03  4.5506330E-02  3.6101859E+01  1.9167171E+23  3.2784357E-03  1.0000000E-99  1.0000000E-99
  115  9.4695366E+03  4.5908978E-02  3.6421295E+01  1.9166587E+23  3.3382370E-03  1.0000000E-99  1.0000000E-99
  116  9.5525899E+03  4.6311626E-02  3.6740730E+01  1.9165998E+23  3.3985843E-03  1.0000000E-99  1.0000000E-99
  117  9.6356432E+03  4.6714274E-02  3.7060166E+01  1.9165403E+23  3.4594776E-03  1.0000000E-99  1.0000000E-99
  118  9.7186965E+03  4.7116922E-02  3.7379602E+01  1.9164804E+23  3.5209173E-03  1.0000000E-99  1.0000000E-99
  119  9.8017498E+03  4.7519571E-02  3.7699038E+01  1.9164199E+23  3.5829035E-03  1.0000000E-99  1.0000000E-99
  120  9.8848030E+03  4.7922219E-02  3.8018473E+01  1.9163589E+23  3.6454364E-03  1.0000000E-99  1.0000000E-99
  121  9.9678563E+03  4.8324867E-02  3.8337909E+01  1.9162974E+23  3.7085163E-03  1.0000000E-99  1.0000000E-99
  122  1.0050910E+04  4.8727515E-02  3.8657345E+01  1.9162354E+23  3.7721433E-03  1.0000000E-99  1.0000000E-99
  123  1.0133963E+04  4.9130163E-02  3.8976780E+01  1.9161728E+23  3.8363176E-03  1.0000000E-99  1.0000000E-99
  124  1.0217016E+04  4.9532811E-02  3.9296216E+01  1.9161098E+23  3.9010395E-03  1.0000000E-99  1.0000000E-99
  125  1.0300069E+04  4.9935459E-02  3.9615652E+01  1.9160462E+23  3.9663092E-03  1.0000000E-99  1.0000000E-99
  126  1.0383123E+04  5.0338108E-02  3.9935088E+01  1.9159821E+23  4.0321268E-03  1.0000000E-99  1.0000000E-99
  127  1.0466176E+04  5.0740756E-02  4.0254523E+01  1.9159175E+23  4.0984926E-03  1.0000000E-99  1.0000000E-99
  128  1.0549229E+04  5.1143404E-02  4.0573959E+01  1.9158523E+23  4.1654068E-03  1.0000000E-99  1.0000000E-99
  129  1.0632283E+04  5.1546052E-02  4.0893395E+01  1.9157867E+23  4.2328696E-03  1.0000000E-99  1.0000000E-99
  130  1.0715336E+04  5.1948700E-02  4.1212830E+01  1.9157205E+23  4.3008813E-03  1.0000000E-99  1.0000000E-99
  131  1.0798389E+04  5.2351348E-02  4.1532266E+01  1.9156539E+23  4.3694420E-03  1.0000000E-99  1.0000000E-99
  132  1.0881442E+04  5.2753997E-02  4.1851702E+01  1.9155867E+23  4.4385520E-03  1.0000000E-99  1.0000000E-99
  133  1.0964496E+04  5.3156645E-02  4.2171138E+01  1.9155189E+23  4.5082116E-03  1.0000000E-99  1.0000000E-99
  134  1.1047549E+04  5.3559293E-02  4.2490573E+01  1.9154507E+23  4.5784208E-03  1.0000000E-99  1.0000000E-99
  135  1.1130602E+04  5.3961941E-02  4.2810009E+01  1.9153820E+23  4.6491800E-03  1.0000000E-99  1.0000000E-99
  136  1.1213656E+04  5.4364589E-02  4.3129445E+01  1.9153127E+23  4.7204894E-03  1.0000000E-99  1.0000000E-99
  137  1.1296709E+04  5.4767237E-02  4.3448880E+01  1.9152429E+23  4.7923493E-03  1.0000000E-99  1.0000000E-99
  138  1.1379762E+04  5.5169886E-02  4.3768316E+01  1.9151726E+23  4.8647598E-03  1.0000000E-99  1.0000000E-99
  139  1.1462815E+04  5.5572534E-02  4.4087752E+01  1.9151018E+23  4.9377211E-03  1.0000000E-99  1.0000000E-99
  140  1.1545869E+04  5.5975182E-02  4.4407188E+01  1.9150304E+23  5.0112337E-03  1.0000000E-99  1.0000000E-99
  141  1.1628922E+04  5.6377830E-02  4.4726623E+01  1.9149586E+23  5.0852976E-03  1.0000000E-99  1.0000000E-99
  142  1.1711975E+04  5.6780478E-02  4.5046059E+01  1.9148862E+23  5.1599131E-03  1.0000000E-99  1.0000000E-99
  143  1.1795029E+04  5.7183126E-02  4.5365495E+01  1.9148133E+23  5.2350804E-03  1.0000000E-99  1.0000000E-99
  144  1.1878082E+04  5.7585775E-02  4.5684930E+01  1.9147399E+23  5.3107999E-03  1.0000000E-99  1.0000000E-99
  145  1.1961135E+04  5.7988423E-02  4.6004366E+01  1.9146660E+23  5.3870717E-03  1.0000000E-99  1.0000000E-99
  146  1.2044188E+04  5.8391071E-02  4.6323802E+01  1.9145915E+23  5.4638961E-03  1.0000000E-99  1.0000000E-99
  147  1.2127242E+04  5.8793719E-02  4.6643238E+01  1.9145166E+23  5.5412734E-03  1.0000000E-99  1.0000000E-99
  148  1.2210295E+04  5.9196367E-02  4.6962673E+01  1.9144411E+23  5.6192037E-03  1.0000000E-99  1.0000000E-99
  149  1.2293348E+04  5.9599015E-02  4.7282109E+01  1.9143651E+23  5.6976875E-03  1.0000000E-99  1.0000000E-99
  150  1.2376402E+04  6.0001664E-02  4.7601545E+01  1.9142886E+23  5.7767248E-03  1.0000000E-99  1.0000000E-99
  151  1.2459455E+04  6.0404312E-02  4.7920980E+01  1.9142115E+23  5.8563160E-03  1.0000000E-99  1.0000000E-99
  152  1.2542508E+04  6.0806960E-02  4.8240416E+01  1.9141340E+23  5.9364613E-03  1.0000000E-99  1.0000000E-99
  153  1.2625561E+04  6.1209608E-02  4.8559852E+01  1.9140559E+23  6.0171611E-03  1.0000000E-99  1.0000000E-99
  154  1.2708615E+04  6.1612256E-02  4.8879288E+01  1.9139773E+23  6.0984154E-03  1.0000000E-99  1.0000000E-99
  155  1.2791668E+04  6.2014904E-02  4.9198723E+01  1.9138982E+23  6.1802247E-03  1.0000000E-99  1.0000000E-99
  156  1.2874721E+04  6.2417552E-02  4.9518159E+01  1.9138186E+23  6.2625892E-03  1.0000000E-99  1.0000000E-99
  157  1.2957775E+04  6.2820201E-02  4.9837595E+01  1.9137384E+23  6.3455092E-03  1.0000000E-99  1.0000000E-99
  158  1.3040828E+04  6.3222849E-02  5.0157030E+01  1.9136578E+23  6.4289849E-03  1.0000000E-99  1.0000000E-99
  159  1.3123881E+04  6.3625497E-02  5.0476466E+01  1.9135766E+23  6.5130165E-03  1.0000000E-99  1.0000000E-99
  160  1.3206934E+04  6.4028145E-02  5.0795902E+01  1.9134949E+23  6.5976045E-03  1.0000000E-99  1.0000000E-99
  161  1.3289988E+04  6.4430793E-02  5.1115338E+01  1.9134126E+23  6.6827490E-03  1.0000000E-99  1.0000000E-99
  162  1.3373041E+04  6.4833441E-02  5.1434773E+01  1.9133299E+23  6.7684504E-03  1.0000000E-99  1.0000000E-99
  163  1.3456094E+04  6.5236090E-02  5.1754209E+01  1.9132466E+23  6.8547088E-03  1.0000000E-99  1.0000000E-99
  164  1.3539148E+04  6.5638738E-02  5.2073645E+01  1.9131629E+23  6.9415247E-03  1.0000000E-99  1.0000000E-99
  165  1.3622201E+04  6.6041386E-02  5.2393080E+01  1.9130786E+23  7.0288982E-03  1.0000000E-99  1.0000000E-99
  166  1.3705254E+04  6.6444034E-02  5.2712516E+01  1.9129937E+23  7.1168298E-03  1.0000000E-99  1.0000000E-99
  167  1.3788308E+04  6.6846682E-02  5.3031952E+01  1.9129084E+23  7.2053195E-03  1.0000000E-99  1.0000000E-99
  168  1.3871361E+04  6.7249330E-02  5.3351388E+01  1.9128225E+23  7.2943678E-03  1.0000000E-99  1.0000000E-99
  169  1.3954414E+04  6.7651979E-02  5.3670823E+01  1.9127362E+23  7.3839750E-03  1.0000000E-99  1.0000000E-99
  170  1.4037467E+04  6.8054627E-02  5.3990259E+01  1.9126493E+23  7.4741413E-03  1.0000000E-99  1.0000000E-99
  171  1.4120521E+04  6.8457275E-02  5.4309695E+01  1.9125618E+23  7.5648670E-03  1.0000000E-99  1.0000000E-99
  172  1.4203574E+04  6.8859923E-02  5.4629131E+01  1.9124739E+23  7.6561525E-03  1.0000000E-99  1.0000000E-99
  173  1.4286627E+04  6.9262571E-02  5.4948566E+01  1.9123854E+23  7.7479979E-03  1.0000000E-99  1.0000000E-99
  174  1.4369681E+04  6.9665219E-02  5.5268002E+01  1.9122965E+23  7.8404037E-03  1.0000000E-99  1.0000000E-99
  175  1.4452734E+04  7.0067868E-02  5.5587438E+01  1.9122070E+23  7.9333702E-03  1.0000000E-99  1.0000000E-99
  176  1.4535787E+04  7.0470516E-02  5.5906873E+01  1.9121169E+23  8.0268975E-03  1.0000000E-99  1.0000000E-99
  177  1.4618840E+04  7.0873164E-02  5.6226309E+01  1.9120264E+23  8.1209862E-03  1.0000000E-99  1.0000000E-99
  178  1.4701894E+04  7.1275812E-02  5.6545745E+01  1.9119354E+23  8.2156363E-03  1.0000000E-99  1.0000000E-99
  179  1.4784947E+04  7.1678460E-02  5.6865181E+01  1.9118438E+23  8.3108484E-03  1.0000000E-99  1.0000000E-99
  180  1.4868000E+04  7.2081108E-02  5.7184616E+01  1.9117517E+23  8.4066226E-03  1.0000000E-99  1.0000000E-99
  181  1.4951054E+04  7.2483756E-02  5.7504052E+01  1.9116591E+23  8.5029593E-03  1.0000000E-99  1.0000000E-99
  182  1.5034107E+04  7.2886405E-02  5.7823488E+01  1.9115659E+23  8.5998588E-03  1.0000000E-99  1.0000000E-99
  183  1.5117160E+04  7.3289053E-02  5.8142923E+01  1.9114723E+23  8.6973215E-03  1.0000000E-99  1.0000000E-99
  184  1.5200213E+04  7.3691701E-02  5.8462359E+01  1.9113781E+23  8.7953476E-03  1.0000000E-99  1.0000000E-99
