ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
1009,4,25,15,3e+21,1.30103,0.0935603,3.5782,3.398,59.3907,1781.72,178.172,78,0.70913,0.614184,0.713906,0.605647,0.699572,0.695829,0.682013,0.691734,0.678062,156,169.263,1.27018,1.41936,1.10926,1.39963,1.08699,0.990723,0.971051,0.977194,0.957879,1.29477,1.45877,1.10946
1010,4,25,16,3e+21,1.30103,0.11962,2.9132,2.638,68.5516,2056.55,205.655,96,0.782506,0.688446,0.755053,0.674435,0.73487,0.72531,0.706289,0.723984,0.705027,192,195.372,1.05088,1.13245,1.18103,1.10941,1.14946,1.0678,1.0398,1.06468,1.0368,1.06125,1.15071,1.18104
1011,4,25,17,3e+21,1.30103,0.152938,2.4091,2.074,81.759,2452.77,245.277,120,0.841561,0.753434,0.789316,0.730035,0.759327,0.745684,0.718155,0.745684,0.718155,233.013,233.013,0.980038,1.03504,1.10691,1.0029,1.06486,0.97162,0.935751,0.97162,0.935751,0.984583,1.0445,1.10691
1012,4,25,18,3e+21,1.30103,0.195537,2.0205,1.683,99.9215,2997.64,299.764,156,0.88129,0.801304,0.810415,0.762166,0.764519,0.748183,0.707543,0.748183,0.707543,284.776,284.776,0.954151,0.999846,0.98121,0.95101,0.925641,0.85728,0.810714,0.85728,0.810714,0.956095,1.00504,0.98121
1013,4,25,19,3e+21,1.30103,0.25,1.7255,1.434,123.151,3694.52,369.452,198,0.904399,0.832869,0.815271,0.768766,0.745374,0.72362,0.665289,0.72362,0.665289,350.98,350.98,0.944129,0.988964,0.89067,0.912846,0.814308,0.695403,0.639347,0.695403,0.639347,0.944933,0.991919,0.89067
1014,4,26,8,3e+21,1.9307,0.0167535,52.6533,10.085,115.739,3472.18,347.218,24,0.347796,0.283366,0.4755,0.282337,0.471153,0.616054,0.603355,0.666374,0.644245,48,72,0.831159,0.821483,0.899479,0.818502,0.891258,0.872082,0.854105,0.782294,0.756316,1.03499,1.05111,0.95131
1015,4,26,9,3e+21,1.9307,0.02142,41.1017,9.806,108.875,3266.24,326.624,30,0.363034,0.298222,0.527254,0.297104,0.521304,0.64226,0.625914,0.679264,0.65226,60,90,0.907273,0.905879,0.939817,0.902482,0.929211,0.844346,0.822856,0.838428,0.805096,1.10341,1.12928,0.974742
1016,4,26,10,3e+21,1.9307,0.0273861,27.5931,9.112,97.0307,2910.92,291.092,30,0.39447,0.327871,0.526869,0.326534,0.521341,0.638276,0.623587,0.670039,0.646675,60,90,1.04249,1.05772,0.966186,1.0534,0.956049,1.05089,1.02671,1.04209,1.00576,1.22017,1.26448,0.997209
1017,4,26,11,3e+21,1.9307,0.0350141,19.0879,8.268,86.495,2594.85,259.485,36,0.431921,0.362628,0.561164,0.360974,0.554528,0.652823,0.636385,0.665242,0.646159,72,108,1.19967,1.23819,1.00479,1.23254,0.992904,1.0779,1.05076,1.06058,1.03016,1.35699,1.42628,1.03049
1018,4,26,12,3e+21,1.9307,0.0447667,12.6395,7.132,76.8496,2305.49,230.549,42,0.484035,0.410283,0.594168,0.408061,0.586269,0.659737,0.644774,0.656333,0.641483,84,126,1.54263,1.64293,1.04834,1.63403,1.0344,1.06485,1.0407,1.10059,1.07568,1.68346,1.82007,1.066
1019,4,26,13,3e+21,1.9307,0.0572357,8.9935,6.044,71.8071,2154.21,215.421,54,0.538968,0.460142,0.634356,0.457108,0.624042,0.663961,0.650841,0.652853,0.640018,108,162,2.14454,2.38767,1.09778,2.37193,1.07994,1.17386,1.15067,1.06557,1.04462,2.27729,2.56712,1.10868
