# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 34961 rows from 21 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   1.0758993   3.482853e+20   0.9832195    0.026209   0.9999272    0.001097     0.92876        1  i01j27k10
   1.0757744   3.483270e+20   0.9822749    0.027514   0.9998975    0.001406     0.92887        1  i01j27k10
   1.0758993   3.482853e+20   0.9832195    0.026209   0.9999272    0.001097     0.92876        1  i01j27k10
   1.0763951   3.481212e+20   0.9858138    0.022486   0.9999285    0.001072     0.92832        1  i01j27k10
   1.0769408   3.479389e+20   0.9893034    0.017742   1.0000685   -0.000378     0.92784        1  i01j27k10
   1.0774903   3.477533e+20   0.9929122    0.012518   1.0000598   -0.000311     0.92734        1  i01j27k10
   1.0779825   3.475843e+20   0.9957951    0.008671   1.0002085   -0.001854     0.92689        1  i01j27k10
   1.0783809   3.474431e+20   0.9977537    0.005892   1.0002033   -0.001816     0.92651        1  i01j27k10
   1.0786264   3.473492e+20   0.9987830    0.004631   1.0002541   -0.002346     0.92626        1  i01j27k10
   1.0787678   3.472864e+20   0.9992319    0.004107   1.0002501   -0.002310     0.92610        1  i01j27k10
   1.0788453   3.472419e+20   0.9993802    0.003902   1.0002493   -0.002306     0.92598        1  i01j27k10
   1.0788906   3.472056e+20   0.9994202    0.003695   1.0002447   -0.002260     0.92588        0  i01j27k10
   1.0789020   3.471777e+20   0.9994309    0.003517   1.0002401   -0.002216     0.92581        0  i01j27k10
   1.0788980   3.471527e+20   0.9994400    0.003466   1.0002361   -0.002176     0.92574        0  i01j27k10
   1.0788740   3.471315e+20   0.9994498    0.003548   1.0002313   -0.002131     0.92568        0  i01j27k10
   1.0789106   3.470890e+20   0.9994552    0.003555   1.0002261   -0.002079     0.92557        0  i01j27k10
   1.0789119   3.470550e+20   0.9994525    0.003462   1.0002131   -0.001949     0.92548        0  i01j27k10
   1.0788947   3.470777e+20   0.9994557    0.003508   1.0002232   -0.002050     0.92554        0  i01j27k10
   1.0789033   3.471079e+20   0.9994542    0.003559   1.0002326   -0.002144     0.92562        0  i01j27k10
   1.0789092   3.471362e+20   0.9994468    0.003475   1.0002364   -0.002180     0.92570        0  i01j27k10
   1.0789240   3.471598e+20   0.9994375    0.003439   1.0002407   -0.002224     0.92576        0  i01j27k10
   1.0789185   3.471872e+20   0.9994294    0.003574   1.0002446   -0.002260     0.92583        0  i01j27k10
   1.0788969   3.472179e+20   0.9994046    0.003792   1.0002496   -0.002310     0.92591        1  i01j27k10
   1.0788501   3.472541e+20   0.9993014    0.004000   1.0002533   -0.002344     0.92601        1  i01j27k10
