! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 2089 nodes measured, 0 not measured, 26072617 pixels
! 26072617 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.775     20.50   -0.0100      34588    1.0048    1.0048    1.0048
    20.775     20.50    0.0100      57961    1.0048    1.0048    1.0048
    20.775     20.50    0.0350        744    1.0048    1.0048    1.0048
    20.825     18.30   -0.1500         24    0.6425    0.6512    0.6691
    20.825     18.30   -0.0750         40    0.6691    0.6691    0.7160
    20.825     18.30   -0.0100         32    0.8089    0.8199    0.8425
    20.825     18.50   -0.6000         52    0.6875    0.7064    0.7160
    20.825     18.50   -0.1500        152    0.6601    0.6783    0.6875
    20.825     18.50   -0.0750         88    0.6691    0.6691    0.7160
    20.825     18.50   -0.0350        104    0.7559    0.7662    0.7767
    20.825     18.50   -0.0100         24    0.7767    0.8089    0.8425
    20.825     18.50    0.0100         24    0.8656    0.8774    0.9389
    20.825     18.50    0.0350         84    1.0899    1.2312    1.2480
    20.825     18.50    0.0750         48    1.3909    1.7513    2.5594
    20.825     18.50    0.1500         32    1.8488    2.4243    4.1125
    20.825     18.70   -0.6000        132    0.6875    0.7258    0.7767
    20.825     18.70   -0.1500        248    0.6601    0.7064    0.7357
    20.825     18.70   -0.0750        136    0.6691    0.7064    0.7662
    20.825     18.70   -0.0350         40    0.7258    0.7662    0.8089
    20.825     18.70   -0.0100         32    0.8089    0.8089    0.8311
    20.825     18.70    0.0350         60    0.9647    1.0324    1.1822
    20.825     18.70    0.0750         56    1.2147    1.5713    1.9784
    20.825     18.70    0.1500         77    1.8488    3.1362    4.4608
    20.825     18.90   -0.6000        156    0.7457    0.7767    0.7873
    20.825     18.90   -0.1500        244    0.7357    0.7767    0.8089
    20.825     18.90   -0.0750         40    0.7980    0.8089    0.8199
    20.825     18.90    0.0350         28    0.9015    0.9647    0.9912
    20.825     18.90    0.0750         48    1.0464    1.1822    1.5713
    20.825     18.90    0.1500         53    1.4291    1.6589    2.2655
    20.825     19.10   -0.6000         80    0.7873    0.8089    0.8311
    20.825     19.10   -0.1500        436    0.8089    0.8425    0.8540
    20.825     19.10   -0.0750         80    0.8089    0.8425    0.8656
    20.825     19.10   -0.0350         28    0.8540    0.8540    0.8774
    20.825     19.10    0.0100         20    0.8894    0.8894    0.9138
    20.825     19.10    0.0350         20    0.9517    0.9647    0.9647
    20.825     19.10    0.1500         29    1.2998    1.3355    1.9784
    20.825     19.30   -0.1500        476    0.8656    0.8894    0.9015
    20.825     19.30   -0.0750        112    0.8774    0.8894    0.9015
    20.825     19.30   -0.0350         52    0.8540    0.8894    0.9138
    20.825     19.30    0.0750         44    0.9912    1.0464    1.0607
    20.825     19.30    0.1500         36    1.1351    1.2998    1.4291
    20.825     19.50   -0.1500        312    0.8894    0.9263    0.9389
    20.825     19.50   -0.0750        452    0.9138    0.9263    0.9517
    20.825     19.50   -0.0350         52    0.9263    0.9389    0.9517
    20.825     19.50   -0.0100         44    0.9263    0.9389    0.9517
    20.825     19.50    0.0100         36    0.9779    0.9779    0.9912
    20.825     19.50    0.0350         68    0.9779    0.9779    0.9779
    20.825     19.50    0.0750         68    0.9912    1.0185    1.0464
    20.825     19.70   -0.1500         32    0.9263    0.9389    0.9517
    20.825     19.70   -0.0750        832    0.9389    0.9647    0.9779
    20.825     19.70   -0.0350        200    0.9517    0.9647    0.9779
    20.825     19.70   -0.0100         52    0.9647    0.9779    0.9912
    20.825     19.70    0.0100        396    0.9912    0.9912    1.0048
    20.825     19.70    0.0350        980    0.9912    0.9912    1.0048
    20.825     19.70    0.0750        504    0.9912    1.0048    1.0185
    20.825     19.90   -0.0750        284    0.9779    0.9779    0.9912
    20.825     19.90   -0.0350       1608    0.9912    1.0048    1.0185
    20.825     19.90   -0.0100        528    1.0185    1.0185    1.0185
    20.825     19.90    0.0100        460    1.0048    1.0185    1.0185
    20.825     19.90    0.0350         92    0.9912    1.0048    1.0185
    20.825     19.90    0.0750        472    0.9912    1.0048    1.0048
    20.825     19.90    0.1500         48    1.0048    1.0048    1.0048
    20.825     20.10   -0.0350        392    1.0048    1.0048    1.0185
    20.825     20.10   -0.0100      37544    1.0048    1.0048    1.0048
    20.825     20.10    0.0100      31412    1.0048    1.0048    1.0185
    20.825     20.10    0.0350       1144    1.0048    1.0185    1.0185
    20.825     20.30   -0.0100      31696    1.0048    1.0048    1.0048
    20.825     20.30    0.0100      50679    1.0048    1.0048    1.0048
    20.825     20.30    0.0350       1356    1.0048    1.0048    1.0048
    20.875     17.90   -0.0750         24    0.7064    0.7160    0.7258
    20.875     18.10   -0.1500        144    0.6512    0.6601    0.7064
    20.875     18.10   -0.0750         92    0.6875    0.6875    0.6969
    20.875     18.10   -0.0100         36    0.8199    0.8774    0.8894
    20.875     18.10    0.0100         36    0.8774    0.9263    0.9517
    20.875     18.10    0.0350         28    0.9912    1.1198    1.1822
    20.875     18.10    0.0750         48    1.6365    1.9255    2.0605
    20.875     18.10    0.1500         20    2.2655    3.0113    3.7403
    20.875     18.30   -0.6000         48    0.6783    0.7258    0.7258
    20.875     18.30   -0.1500        276    0.6512    0.6875    0.7357
    20.875     18.30   -0.0750        128    0.6783    0.6783    0.7258
    20.875     18.30   -0.0350         32    0.7357    0.7662    0.8199
    20.875     18.30   -0.0100         56    0.8089    0.8199    0.8425
    20.875     18.30    0.0350         56    1.0048    1.0607    1.1983
    20.875     18.30    0.0750         52    1.3722    1.6589    1.7044
    20.875     18.30    0.1500         60    2.2049    3.1790    3.7914
