# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r250.cfg.00.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  4.2376165E+26
# TOTAL STDEV:  4.4646868E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
  106   3.1500000E+02  0.0000000E+00  4.0425045E+21  6.5736628E+17  6.2166418E-02
  107   3.1800000E+02  0.0000000E+00  4.0403619E+21  6.0150636E+17  6.2166418E-02
  108   3.2100000E+02  0.0000000E+00  4.0385672E+21  4.6055146E+17  6.2166418E-02
  109   3.2400000E+02  0.0000000E+00  4.0371851E+21  3.4851289E+17  5.5931388E-02
  110   3.2700000E+02  0.0000000E+00  4.0361035E+21  2.8322371E+17  4.7318503E-02
  111   3.3000000E+02  0.0000000E+00  4.0352018E+21  2.4149734E+17  3.6793636E-02
  112   3.3300000E+02  0.0000000E+00  4.0343981E+21  2.3177234E+17  2.9071906E-02
  113   3.3600000E+02  0.0000000E+00  4.0336296E+21  2.1808184E+17  2.4465472E-02
  114   3.3900000E+02  0.0000000E+00  4.0328630E+21  2.2594023E+17  2.2011504E-02
  115   3.4200000E+02  0.0000000E+00  4.0320577E+21  2.4674795E+17  2.2011504E-02
  116   3.4500000E+02  0.0000000E+00  4.0312090E+21  2.5206601E+17  2.2667407E-02
  117   3.4800000E+02  0.0000000E+00  4.0303406E+21  2.6131044E+17  2.4104772E-02
  118   3.5100000E+02  0.0000000E+00  4.0294009E+21  2.8440414E+17  2.4881878E-02
  119   3.5400000E+02  0.0000000E+00  4.0283689E+21  3.1792337E+17  2.7164930E-02
  120   3.5700000E+02  0.0000000E+00  4.0272368E+21  3.5033692E+17  3.0097528E-02
  121   3.6000000E+02  0.0000000E+00  4.0259772E+21  3.8392080E+17  3.3308421E-02
  122   3.6300000E+02  0.0000000E+00  4.0246177E+21  4.0834066E+17  3.7381143E-02
  123   3.6600000E+02  0.0000000E+00  4.0230962E+21  4.6613104E+17  4.0696784E-02
  124   3.6900000E+02  0.0000000E+00  4.0214121E+21  5.1967339E+17  4.5941715E-02
  125   3.7200000E+02  0.0000000E+00  4.0197598E+21  4.5720137E+17  5.0753502E-02
