ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_peak_scale,R_exc_scale,R_int_scale
111,1,19,18,3.75e+20,0.121819,0.195537,0.5484,1.587,86.7955,2603.86,260.387,150,0.995948,0.981428,0.96406,1.00088,0.995617,0.963908
112,1,20,1,3.75e+20,0.180777,0.003,32.7582,46.811,12.4324,372.971,37.2972,18,0.185109,0.169889,0.274659,0.291449,0.280227,0.45549
113,1,20,2,3.75e+20,0.180777,0.0038356,23.0567,48.476,11.3192,339.577,33.9577,18,0.193689,0.176674,0.27308,0.281992,0.267258,0.38783
114,1,20,3,3.75e+20,0.180777,0.00490394,15.416,49.81,10.1139,303.418,30.3418,18,0.196473,0.177427,0.26246,0.286316,0.269225,0.399165
115,1,20,4,3.75e+20,0.180777,0.00626986,10.5945,50.223,9.25846,277.754,27.7754,18,0.191343,0.169643,0.235476,0.30447,0.282958,0.309063
116,1,20,5,3.75e+20,0.180777,0.00801622,7.7855,49.698,8.88138,266.442,27,18,0.193754,0.171217,0.228354,0.335995,0.307202,0.395082
117,1,20,6,3.75e+20,0.180777,0.010249,5.7663,48.067,8.92073,267.622,27,18,0.204626,0.181195,0.235478,0.361384,0.329621,0.4122
118,1,20,7,3.75e+20,0.180777,0.0131037,4.4194,45.234,9.41988,282.596,28.2597,18,0.23453,0.210803,0.269104,0.377966,0.354931,0.441673
119,1,20,8,3.75e+20,0.180777,0.0167535,3.4658,41.022,10.401,312.031,31.2031,18,0.29059,0.267855,0.332647,0.415192,0.396547,0.519391
120,1,20,9,3.75e+20,0.180777,0.02142,2.744,35.178,11.9887,359.66,35.966,24,0.347511,0.325633,0.424085,0.49159,0.478159,0.625573
121,1,20,10,3.75e+20,0.180777,0.0273861,2.2054,28.225,14.2535,427.605,42.7605,24,0.438571,0.416638,0.523867,0.577593,0.551419,0.643708
122,1,20,11,3.75e+20,0.180777,0.0350141,1.7884,20.97,17.3907,521.722,52.1722,30,0.546152,0.522816,0.654003,0.679738,0.661651,0.785571
123,1,20,12,3.75e+20,0.180777,0.0447667,1.466,14.651,21.5635,646.905,64.6905,36,0.667927,0.643142,0.766291,0.806459,0.79167,0.781693
124,1,20,13,3.75e+20,0.180777,0.0572357,1.2666,9.808,27.2241,816.722,81.6722,48,0.784877,0.759942,0.864591,0.951138,0.946413,0.909551
125,1,20,14,3.75e+20,0.180777,0.0731778,1.112,6.651,34.1875,1025.62,102.562,60,0.86855,0.844471,0.922206,1.08046,1.09613,0.932038
126,1,20,15,3.75e+20,0.180777,0.0935603,0.9759,4.544,43.2553,1297.66,129.766,72,0.928878,0.907519,0.957606,1.01594,1.02257,0.975789
127,1,20,16,3.75e+20,0.180777,0.11962,0.8564,3.189,55.0355,1651.07,165.106,96,0.965734,0.947996,0.975026,1.00036,0.997818,0.964804
128,1,20,17,3.75e+20,0.180777,0.152938,0.7512,2.335,70.4031,2112.09,211.209,120,0.984943,0.970314,0.979654,0.998453,0.998379,0.990258
129,1,20,18,3.75e+20,0.180777,0.195537,0.6651,1.838,88.7626,2662.88,266.288,150,0.993493,0.980459,0.973938,1.004,1.00523,0.969516
130,1,20,19,3.75e+20,0.180777,0.25,0.5906,1.53,111.556,3346.67,334.667,192,0.99696,0.982788,0.956922,0.99732,0.983387,0.947626
131,1,21,1,3.75e+20,0.26827,0.003,58.9469,51.015,20.2215,606.645,60.6645,18,0.201935,0.189618,0.359484,0.280661,0.269548,0.476772
132,1,21,2,3.75e+20,0.26827,0.0038356,36.7247,54.933,18.368,551.039,55.1039,18,0.219795,0.206766,0.361931,0.300587,0.288486,0.490844
