! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 334 nodes measured, 0 not measured, 4152706 pixels
! 4152706 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.925     21.90   -0.0100       1132    1.0185    1.0185    1.0185
    20.925     21.90    0.0100       2420    1.0185    1.0185    1.0185
    20.925     21.90    0.0350        180    1.0185    1.0185    1.0185
    20.925     21.90    0.0750         92    1.0185    1.0185    1.0324
    20.925     22.10   -0.0100       4256    1.0048    1.0185    1.0185
    20.925     22.10    0.0100       4828    1.0185    1.0185    1.0185
    20.925     22.10    0.0350         80    1.0185    1.0185    1.0185
    20.925     22.30   -0.0100       1692    1.0048    1.0048    1.0185
    20.925     22.30    0.0100         88    1.0185    1.0185    1.0185
    20.975     19.30   -0.0350         24    0.8089    0.8311    0.8425
    20.975     19.30   -0.0100         20    0.8199    0.8540    0.8894
    20.975     20.10   -0.1500         24    0.8199    0.8199    0.8311
    20.975     20.10    0.0750         20    1.0899    1.1198    1.1198
    20.975     20.30   -0.0750         36    0.7873    0.7873    0.8089
    20.975     20.50   -0.1500         84    0.8425    0.8425    0.8540
    20.975     20.50   -0.0750         88    0.8089    0.8199    0.8774
    20.975     20.50   -0.0350         36    0.7980    0.7980    0.8656
    20.975     20.50   -0.0100         40    0.8774    0.8774    0.9647
    20.975     20.50    0.0350         44    1.0607    1.0899    1.5713
    20.975     20.70   -0.1500         84    0.8425    0.8656    0.8774
    20.975     20.70   -0.0750        204    0.8311    0.9263    0.9389
    20.975     20.70   -0.0350         24    0.8656    0.8656    0.9389
    20.975     20.70    0.0100         20    0.9389    0.9517    0.9912
    20.975     20.70    0.0350         40    1.0185    1.0607    1.1198
    20.975     20.70    0.0750         20    1.3909    1.4486    1.5713
    20.975     20.90   -0.1500         28    0.8656    0.8894    0.8894
    20.975     20.90   -0.0750        448    0.9138    0.9263    0.9389
    20.975     20.90   -0.0100         20    0.9779    0.9779    0.9779
    20.975     20.90    0.0100         20    0.9647    0.9647    0.9779
    20.975     20.90    0.0350         28    0.9912    1.0048    1.2823
    20.975     21.10   -0.0750        164    0.9647    0.9779    0.9912
    20.975     21.10   -0.0350        416    0.9779    0.9912    1.0048
    20.975     21.10   -0.0100        752    1.0048    1.0185    1.0185
    20.975     21.10    0.0100       1216    1.0185    1.0185    1.0185
    20.975     21.30   -0.0750         60    0.9779    0.9912    0.9912
    20.975     21.30   -0.0350        120    0.9912    0.9912    0.9912
    20.975     21.30   -0.0100      28348    1.0048    1.0185    1.0185
    20.975     21.30    0.0100      28184    1.0048    1.0185    1.0185
    20.975     21.50   -0.0100        112    1.0185    1.0185    1.0185
    20.975     21.50    0.0100      13705    1.0048    1.0048    1.0048
    20.975     21.50    0.0350         32    1.0185    1.0185    1.0185
    20.975     21.70   -0.0100       3092    1.0185    1.0185    1.0185
    20.975     21.70    0.0100       2169    1.0185    1.0185    1.0185
    20.975     21.70    0.0350        404    1.0185    1.0185    1.0185
    20.975     21.90   -0.0100       4856    1.0185    1.0185    1.0185
    20.975     21.90    0.0100       1536    1.0185    1.0185    1.0185
    20.975     21.90    0.0350         72    1.0185    1.0185    1.0185
    20.975     21.90    0.0750         28    1.0185    1.0185    1.0185
    21.025     19.30   -0.1500         20    0.7873    0.7873    0.7980
    21.025     19.70   -0.1500         28    0.8656    0.8656    0.8656
    21.025     19.90   -0.1500         40    0.7980    0.8425    0.8540
    21.025     19.90   -0.0350         40    0.7767    0.7767    0.7767
    21.025     20.10   -0.1500         60    0.7980    0.8425    0.8425
    21.025     20.10   -0.0750         20    0.7873    0.7980    0.7980
    21.025     20.10   -0.0350         32    0.7767    0.7767    0.7767
    21.025     20.10    0.0350         32    1.0324    1.0607    1.4884
    21.025     20.30   -0.1500         60    0.8199    0.8425    0.8540
    21.025     20.30   -0.0750         20    0.7873    0.7873    0.7873
    21.025     20.30   -0.0350         40    0.7767    0.8894    0.9015
    21.025     20.30    0.0100         20    0.9015    0.9263    1.0185
    21.025     20.50   -0.1500         24    0.8656    0.8656    0.8656
    21.025     20.50   -0.0750        188    0.9263    0.9517    0.9647
    21.025     20.50    0.1500         28    1.0185    1.0185    1.0185
    21.025     20.70   -0.0750        184    0.9263    0.9517    0.9647
    21.025     20.70   -0.0350        112    0.9517    0.9517    0.9647
    21.025     20.70    0.1500         48    1.0048    1.0048    1.0185
    21.025     20.90   -0.0750         64    0.9912    0.9912    1.0048
    21.025     20.90   -0.0350         60    1.0048    1.0185    1.0185
    21.025     20.90   -0.0100        884    1.0185    1.0185    1.0185
    21.025     20.90    0.0100       6480    1.0185    1.0185    1.0185
    21.025     20.90    0.0350         68    1.0185    1.0185    1.0185
    21.025     21.10   -0.0750         48    1.0048    1.0048    1.0185
    21.025     21.10   -0.0100      12052    1.0185    1.0185    1.0185
    21.025     21.10    0.0100      16204    1.0185    1.0185    1.0185
    21.025     21.10    0.1500         20    1.0464    1.0464    1.0464
    21.025     21.30   -0.0100       1596    1.0185    1.0185    1.0185
    21.025     21.30    0.0100        868    1.0185    1.0185    1.0324
    21.025     21.30    0.0350        284    1.0324    1.0324    1.0324
    21.025     21.30    0.1500         20    1.0464    1.0464    1.0464
    21.025     21.50   -0.0100       4220    1.0185    1.0185    1.0185
    21.025     21.50    0.0100       1744    1.0185    1.0185    1.0185
    21.025     21.50    0.0350        452    1.0185    1.0185    1.0185
    21.025     21.70    0.0100       1444    1.0185    1.0185    1.0185
    21.075     19.70   -0.1500         24    0.7980    0.7980    0.8656
    21.075     19.70   -0.0750         44    0.7980    0.8540    0.8774
    21.075     19.70   -0.0350         56    0.7767    0.7873    0.7980
    21.075     19.90   -0.1500         84    0.8425    0.8425    0.8656
    21.075     20.10   -0.0350         48    0.9138    0.9389    0.9517
    21.075     20.10    0.0100         20    0.9389    0.9517    0.9647
    21.075     20.10    0.0750         32    1.0185    1.0185    1.0324
    21.075     20.10    0.1500         28    1.0324    1.0324    1.2998
    21.075     20.30   -0.0750        156    0.9647    0.9779    0.9912
    21.075     20.30    0.0750         80    1.0185    1.0185    1.0324
    21.075     20.30    0.1500         48    1.0324    1.0324    1.0752
    21.075     20.50   -0.0750        116    0.9647    0.9779    0.9912
    21.075     20.50   -0.0350         96    0.9779    0.9912    1.0185
    21.075     20.50   -0.0100         28    1.0048    1.0185    1.0185
    21.075     20.50    0.0750         48    1.0185    1.0185    1.0607
    21.075     20.50    0.1500         80    1.0185    1.0185    1.0324
    21.075     20.70   -0.0350         92    1.0048    1.0324    1.0464
    21.075     20.70   -0.0100       4144    1.0185    1.0185    1.0185
    21.075     20.70    0.0100       6900    1.0185    1.0185    1.0185
    21.075     20.70    0.0350        184    1.0185    1.0324    1.0324
    21.075     20.90   -0.0350         92    1.0324    1.0324    1.0324
    21.075     20.90   -0.0100       9024    1.0185    1.0185    1.0185
    21.075     20.90    0.0100       4596    1.0185    1.0185    1.0185
    21.075     20.90    0.0350        140    1.0185    1.0185    1.0324
    21.075     20.90    0.1500         24    1.0464    1.0464    1.0464
    21.075     21.10   -0.0100       2124    1.0324    1.0324    1.0324
    21.075     21.10    0.0100       2188    1.0324    1.0324    1.0324
    21.075     21.10    0.0350        209    1.0324    1.0324    1.0324
    21.075     21.30   -0.0100       1332    1.0185    1.0324    1.0324
    21.075     21.30    0.0100       1204    1.0324    1.0324    1.0324
    21.075     21.30    0.0350        164    1.0324    1.0324    1.0324
    21.125     18.30    0.0750         20    1.4099    1.4684    1.4684
    21.125     19.10    0.0100         24    0.9015    0.9263    0.9517
    21.125     19.30   -0.1500         24    0.8089    0.8089    0.8199
    21.125     19.30   -0.0750         20    0.9517    0.9517    0.9647
    21.125     19.30   -0.0100         32    0.8540    0.8540    0.8656
    21.125     19.50   -0.0750         44    0.8774    0.8894    0.8894
    21.125     19.50    0.0100         24    1.0185    1.0185    1.0185
    21.125     19.70   -0.0750         32    0.8540    0.8656    0.8774
    21.125     19.70    0.0100        200    1.0185    1.0185    1.0185
    21.125     19.70    0.0750        112    1.0324    1.0464    1.0752
    21.125     19.90   -0.0100         32    0.9779    0.9912    1.0048
    21.125     19.90    0.0750        132    1.0185    1.0324    1.0324
    21.125     20.10   -0.0350        168    1.0048    1.0048    1.0185
    21.125     20.10    0.0750         60    1.0185    1.0324    1.0324
    21.125     20.30   -0.0750         48    0.9912    1.0048    1.0048
    21.125     20.30   -0.0350         72    0.9912    1.0185    1.0185
    21.125     20.30   -0.0100       1180    1.0324    1.0324    1.0324
    21.125     20.30    0.0100        556    1.0324    1.0324    1.0324
    21.125     20.30    0.0350         68    1.0324    1.0324    1.0324
    21.125     20.50   -0.0100       4800    1.0185    1.0324    1.0324
    21.125     20.50    0.0100       5533    1.0324    1.0324    1.0324
    21.125     20.50    0.0350        204    1.0324    1.0324    1.0324
    21.125     20.50    0.0750         52    1.0464    1.0464    1.0464
    21.125     20.70   -0.0100       4408    1.0185    1.0185    1.0324
