# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 20283 rows from 6 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   1.2545096   3.467372e+21   1.1649581    0.349114   1.0833829   -0.455799     0.57790        1  i05j10k01
   1.2204143   3.384977e+21   1.1696923    0.424834   1.0818562   -0.451199     0.56416        1  i05j10k01
   1.1758796   3.270064e+21   1.1683149    0.516467   1.0800784   -0.445692     0.54501        1  i05j10k01
   1.1237270   3.098555e+21   1.1558101    0.620418   1.0784503   -0.441311     0.51643        1  i05j10k01
   1.0685289   2.838976e+21   1.1261051    0.731341   1.0767898   -0.436958     0.47316        1  i05j10k01
   1.0176577   2.460695e+21   1.0725455    0.844355   1.0744614   -0.428941     0.41012        1  i05j10k01
   0.9799642   1.961925e+21   0.9903927    0.954720   1.0716251   -0.417914     0.32699        1  i05j10k01
   0.9645695   1.394437e+21   0.8794918    1.056633   1.0690017   -0.407839     0.23241        1  i05j10k01
   0.9728790   1.796466e+21   0.9599758    0.987543   1.0703050   -0.411834     0.29941        1  i05j10k01
   1.0084171   2.358285e+21   1.0564103    0.870604   1.0730600   -0.422135     0.39305        1  i05j10k01
   1.0620736   2.797435e+21   1.1205794    0.745950   1.0760061   -0.433212     0.46624        1  i05j10k01
   1.1237270   3.098555e+21   1.1558101    0.620418   1.0784503   -0.441311     0.51643        1  i05j10k01
   1.1851343   3.289489e+21   1.1691402    0.500065   1.0802403   -0.445848     0.54825        1  i05j10k01
   1.2381794   3.415603e+21   1.1682013    0.391022   1.0819780   -0.450303     0.56927        1  i05j10k01
   1.2751393   3.519358e+21   1.1592327    0.298654   1.0838263   -0.455680     0.58656        1  i05j10k01
   1.2917597   3.627573e+21   1.1470214    0.225388   1.0854052   -0.460105     0.60460        1  i05j10k01
   1.3055734   3.701623e+21   1.1349831    0.171027   1.0865069   -0.462674     0.61694        1  i05j10k01
   1.3113797   3.762509e+21   1.1252369    0.134167   1.0872055   -0.463939     0.62708        1  i05j10k01
   1.3130033   3.803329e+21   1.1189338    0.113184   1.0876947   -0.465014     0.63389        1  i05j10k01
   1.3126337   3.819455e+21   1.1167527    0.106426   1.0878859   -0.465508     0.63658        1  i05j10k01
   1.3130033   3.803329e+21   1.1189338    0.113184   1.0876947   -0.465014     0.63389        1  i05j10k01
