ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
927,4,20,14,3e+21,0.180777,0.0731778,1.1472,1.694,34.5462,1036.39,103.639,60,0.861067,0.753475,0.805126,0.71736,0.76593,0.760136,0.72437,0.760136,0.72437,98.4566,98.4566,0.97343,1.07031,0.898782,1.01901,0.855026,0.699649,0.666729,0.699649,0.666729,0.985695,1.10482,0.963174
928,4,20,15,3e+21,0.180777,0.0935603,0.9961,1.44,43.4341,1303.02,130.302,72,0.89509,0.803832,0.822514,0.742988,0.759325,0.744057,0.689961,0.744057,0.689961,123.787,123.787,0.921303,0.918399,0.744115,0.848884,0.686949,0.483488,0.448337,0.483488,0.448337,0.926177,0.935412,0.744119
929,4,20,16,3e+21,0.180777,0.11962,0.8659,1.272,55.2491,1657.47,165.747,96,0.914506,0.840154,0.807247,0.737235,0.707687,0.687995,0.610021,0.687995,0.610021,157.46,157.46,0.931785,0.990999,0.986077,0.869602,0.864461,0.658817,0.58415,0.658817,0.58415,0.933741,1.00189,0.997627
930,4,20,17,3e+21,0.180777,0.152938,0.7552,1.166,70.6171,2118.51,211.851,120,0.922383,0.847958,0.766349,0.677747,0.612926,0.572512,0.472353,0.572512,0.472353,201.259,201.259,0.933312,1.07351,1.09404,0.858022,0.875012,1.16233,0.958985,1.16233,0.958985,0.933998,1.08027,1.09404
931,4,20,18,3e+21,0.180777,0.195537,0.6677,1.105,88.6855,2660.56,266.057,150,0.925806,0.834079,0.669136,0.569381,0.460289,0.378836,0.282427,0.378836,0.282427,252.754,252.754,0.919309,1.01163,1.16102,0.690585,0.798647,1.87264,1.39607,1.87264,1.39607,0.919534,1.01534,1.16102
932,4,20,19,3e+21,0.180777,0.25,0.5912,1.066,111.591,3347.74,334.774,192,0.927413,0.779777,0.41394,0.387043,0.213851,0.0535948,0.0343449,0.0535948,0.0343449,318.036,318.036,0.917017,1.07002,1.51988,0.531104,0.785206,2.67186,1.7122,2.67186,1.7122,0.91708,1.07234,1.51988
933,4,21,1,3e+21,0.26827,0.003,58.7368,7.25,20.2362,607.086,60.7086,18,0.258469,0.174958,0.324485,0.174244,0.321244,0.44288,0.438493,0.45186,0.447407,36,54,0.466668,0.415666,0.640183,0.413969,0.63379,0.353927,0.350421,0.258754,0.256204,0.685849,0.648347,0.359564
934,4,21,2,3e+21,0.26827,0.0038356,37.0555,7.722,18.4524,553.572,55.3573,18,0.276006,0.188498,0.329008,0.187671,0.325848,0.445979,0.442016,0.453326,0.449322,36,52.5894,0.475598,0.42322,0.662887,0.421362,0.656521,0.424464,0.420693,0.351098,0.347997,0.688043,0.650731,0.480352
935,4,21,3,3e+21,0.26827,0.00490394,25.5341,8.066,16.703,501.088,50.1089,18,0.278848,0.19072,0.321195,0.189874,0.318577,0.434265,0.430983,0.440764,0.437448,36,47.6034,0.53061,0.487328,0.74759,0.485165,0.741497,0.689919,0.684706,0.654433,0.649509,0.763269,0.744669,0.764481
936,4,21,4,3e+21,0.26827,0.00626986,18.8462,8.282,15.2906,458.719,45.8718,18,0.277066,0.188978,0.309525,0.188144,0.307443,0.416911,0.414277,0.421766,0.419109,36,43.5783,0.507475,0.460237,0.689691,0.458206,0.685051,0.664083,0.659887,0.637221,0.633207,0.728859,0.701724,0.738742
937,4,21,5,3e+21,0.26827,0.00801622,12.5807,8.419,13.7007,411.022,41.1022,18,0.276011,0.187652,0.298526,0.186829,0.296872,0.397615,0.395531,0.399606,0.397515,36,39.0471,0.563003,0.527212,0.711383,0.524898,0.707441,0.664067,0.660587,0.655851,0.652419,0.804298,0.798425,0.77087
938,4,21,6,3e+21,0.26827,0.010249,8.9772,8.335,12.8369,385.106,38.5107,18,0.279286,0.189392,0.291331,0.188548,0.28993,0.38296,0.381213,0.383448,0.3817,36,36.5851,0.540943,0.501477,0.723929,0.499242,0.720446,0.70355,0.700341,0.702823,0.699619,0.765947,0.75206,0.787906
939,4,21,7,3e+21,0.26827,0.0131037,6.562,8.006,12.6048,378.144,37.8144,18,0.292404,0.199462,0.29418,0.19853,0.292822,0.383124,0.381451,0.383124,0.381451,35.9237,35.9237,0.586759,0.553025,0.808468,0.55044,0.804735,0.712154,0.709044,0.712154,0.709044,0.81537,0.813144,0.804638
940,4,21,8,3e+21,0.26827,0.0167535,4.9513,7.407,13.0619,391.857,39.1857,24,0.322039,0.225422,0.366313,0.224268,0.364567,0.414682,0.412725,0.414682,0.412725,37.2264,37.2264,0.609471,0.577203,0.789852,0.574248,0.786088,0.699711,0.696409,0.699711,0.696409,0.818928,0.819014,0.814443
941,4,21,9,3e+21,0.26827,0.02142,3.853,6.554,14.2232,426.697,42.6697,24,0.369708,0.267495,0.401458,0.265912,0.399186,0.463042,0.46046,0.463042,0.46046,40.5362,40.5362,0.700766,0.677999,0.892637,0.673987,0.887586,0.763562,0.759303,0.763562,0.759303,0.89824,0.915111,0.926284
942,4,21,10,3e+21,0.26827,0.0273861,3.0755,5.52,16.1324,483.973,48.3973,24,0.437752,0.327756,0.446591,0.325364,0.44332,0.525524,0.521771,0.525524,0.521771,45.9774,45.9774,0.722997,0.698784,0.892556,0.693684,0.886019,0.747249,0.741912,0.747249,0.741912,0.874558,0.886242,0.858725
943,4,21,11,3e+21,0.26827,0.0350141,2.4961,4.412,18.9509,568.527,56.8527,30,0.529548,0.410628,0.549892,0.406641,0.54443,0.591792,0.585977,0.591792,0.585977,54.01,54.01,0.810335,0.796708,0.968943,0.788972,0.95932,0.78933,0.781574,0.78933,0.781574,0.920101,0.942167,0.98494
944,4,21,12,3e+21,0.26827,0.0447667,2.0488,3.38,22.9692,689.074,68.9075,36,0.639211,0.514592,0.640553,0.507416,0.631212,0.661304,0.651776,0.661304,0.651776,65.4621,65.4621,0.897175,0.903654,0.958955,0.891052,0.944972,0.738218,0.727582,0.738218,0.727582,0.963451,1.00181,0.967247
945,4,21,13,3e+21,0.26827,0.0572357,1.7177,2.594,28.179,845.371,84.5371,48,0.740759,0.618139,0.726223,0.605248,0.71032,0.713843,0.698452,0.713843,0.698452,80.3103,80.3103,0.942303,0.974716,1.03646,0.954389,1.01376,0.899781,0.880381,0.899781,0.880381,0.977013,1.03498,1.03705
946,4,21,14,3e+21,0.26827,0.0731778,1.452,2.019,35.2226,1056.68,105.668,60,0.823298,0.712658,0.778515,0.689388,0.751918,0.747519,0.722595,0.747519,0.722595,100.384,100.384,0.953298,1.00294,1.01883,0.970194,0.984025,0.887075,0.857497,0.887075,0.857497,0.969307,1.03743,1.01887
947,4,21,15,3e+21,0.26827,0.0935603,1.2442,1.643,44.2538,1327.61,132.761,72,0.873972,0.778088,0.811133,0.737745,0.767475,0.755525,0.716412,0.755525,0.716412,126.123,126.123,0.956033,1.01638,0.93783,0.96368,0.887352,0.690289,0.654553,0.690289,0.654553,0.962844,1.03572,0.937836
948,4,21,16,3e+21,0.26827,0.11962,1.0786,1.404,55.624,1668.72,166.872,96,0.903203,0.824294,0.816818,0.756388,0.747664,0.733695,0.675123,0.733695,0.675123,158.528,158.528,0.95629,1.06699,1.0178,0.979092,0.931633,0.933932,0.859375,0.933932,0.859375,0.959232,1.07922,1.02941
949,4,21,17,3e+21,0.26827,0.152938,0.9373,1.249,70.6518,2119.56,211.956,120,0.917246,0.846817,0.802657,0.73352,0.693523,0.668541,0.585743,0.668541,0.585743,201.358,201.358,0.923744,0.973611,0.976493,0.84335,0.843723,1.21317,1.06292,1.21317,1.06292,0.92482,0.98003,0.976493
