! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE i01j01k01                  14.19464
       1.5125     1.00310         8
       1.5375     1.00340         8
       1.5625     1.00145        16
       1.5875     1.00327        28
       1.6125     1.00328         8
       1.6375     1.00130        16
       1.6625     1.00258        16
       1.6875     1.00154        16
       1.7125     1.00323        24
       1.7375     1.00203        16
       1.7625     1.00150        16
       1.7875     1.00353        24
       1.8125     1.00259        24
       1.8375     1.00291        28
       1.8625     1.00236        24
       1.8875     1.00145        16
       1.9125     1.00044        24
       1.9375     1.00293        48
       1.9625     1.00030        24
       1.9875     0.99937        32
       2.0125     1.00326        36
       2.0375     1.00295        44
       2.0625     1.00300        24
       2.0875     1.00146        24
       2.1125     1.00275        40
       2.1375     1.00139        52
       2.1625     1.00259        24
       2.1875     1.00376        32
NODE i01j04k04                  18.99428
       0.0125     1.00295        60
       0.1125     1.00288        16
       0.1375     1.00339         8
       0.2125     1.00225         8
       0.2375     1.00343        20
       0.3125     1.00181         8
       0.3375     1.00311        16
       0.3625     1.00366         8
       0.4125     1.00144         8
       0.4375     1.00277        16
       0.4625     1.00381        12
       0.4875     1.00118         8
       0.5125     1.00203         8
       0.5375     1.00284         8
       0.5625     1.00356        24
       0.6125     1.00179         8
       0.6375     1.00256        24
       0.6625     1.00385        12
       0.6875     1.00166         8
       0.7125     1.00167        16
       0.7375     1.00336        32
       0.7625     1.00105         8
       0.7875     1.00262        16
       0.8125     1.00165        24
       0.8375     1.00391        20
       0.8625     1.00176        24
       0.8875     1.00361        16
       0.9125     1.00213        32
       0.9375     1.00294         8
       0.9625     1.00294        48
       0.9875     1.00303        20
       1.0125     1.00265        24
       1.0375     1.00320        56
       1.0625     1.00268        16
       1.0875     1.00315        48
       1.1125     1.00359        52
       1.1375     1.00237        40
       1.1625     1.00374        72
       1.1875     1.00248        68
       1.2125     1.00386        68
       1.2375     1.00364        64
       1.2625     1.00397        76
       1.2875     1.00421        56
       1.3125     1.00421        96
       1.3375     1.00467        80
       1.3625     1.00475       100
       1.3875     1.00532        76
       1.4125     1.00554        92
       1.4375     1.00547       100
       1.4625     1.00557       108
       1.4875     1.00570       120
       1.5125     1.00578       116
       1.5375     1.00592       160
       1.5625     1.00612       136
       1.5875     1.00634       168
       1.6125     1.00669       212
       1.6375     1.00725       216
       1.6625     1.00887       240
       1.6875     1.01564       212
       1.7125     1.03311       156
       1.7375     1.06523       104
       1.7625     1.09433        45
NODE i01j04k05                  20.04148
       0.0125     1.02867        60
       0.0375     1.02943         8
       0.0625     1.02490        16
       0.0875     1.02992         8
       0.1125     1.02352        20
       0.1375     1.02756        16
       0.1625     1.02287        16
       0.1875     1.02459        24
       0.2125     1.02213        20
       0.2375     1.02114        40
       0.2625     1.02270        32
       0.2875     1.02058        36
       0.3125     1.01968        48
       0.3375     1.01854        52
       0.3625     1.01818        56
       0.3875     1.01838        84
       0.4125     1.02018        96
       0.4375     1.02230       124
       0.4625     1.02220       196
       0.4875     1.01858       208
       0.5125     1.01592       248
       0.5375     1.01193       276
       0.5625     1.00871       304
       0.5875     1.00704       372
       0.6125     1.00637       412
       0.6375     1.00670       396
       0.6625     1.01230       292
       0.6875     1.03182       152
       0.7125     1.06174        96
       0.7375     1.08151        13
NODE i01j04k06                  20.51791
       0.0125     1.01929       112
       0.0375     1.01319       108
       0.0625     1.00986       160
       0.0875     1.00773       284
       0.1125     1.00651       640
       0.1375     1.00604       716
       0.1625     1.00565       784
       0.1875     1.00621       568
       0.2125     1.01738       204
       0.2375     1.03863       100
       0.2625     1.05446        45
NODE i01j05k01                  14.61649
       0.0125     0.77409        60
       0.2125     0.81037         8
       0.2625     0.82307         8
       0.2875     0.82992         8
       0.4375     0.87700         8
       0.5125     0.83547         8
       0.5375     0.84531        12
       0.6625     0.92063         8
       0.7375     0.89364         8
       0.7875     0.85545         8
       0.8125     0.86410         8
       0.8625     0.95691         8
       0.9375     0.95160         8
       1.0125     0.90717         8
       1.0625     0.87713        20
       1.1625     0.98267         8
       1.2125     0.95798         8
       1.2625     0.96622        16
       1.3125     0.90189         8
       1.3625     0.99344         8
       1.4375     0.98795         8
       1.4625     1.00105         8
       1.4875     0.96613         8
       1.5125     0.95927         8
       1.5625     0.99972         8
       1.6375     0.99862        16
       1.6875     0.99101         8
       1.7375     0.99502        16
       1.7625     0.98158         8
       1.8125     1.00229         8
       1.8375     1.00081         8
       1.9125     0.99989        16
       1.9375     0.99667         8
       1.9625     1.00256         8
       1.9875     0.99539        12
       2.0125     1.00175         8
       2.0875     1.00212        16
       2.1125     1.00177         8
       2.1625     1.00118         8
       2.1875     1.00041        16
NODE i01j05k02                  16.07823
       0.0125     0.99817        60
       0.1875     0.99952         8
       0.2375     0.99923        16
       0.4125     0.99996         8
       0.4375     0.99988         8
       0.4625     0.99978         8
       0.6125     1.00027         8
       0.6625     1.00032         8
       0.6875     1.00040         8
       0.7125     1.00038         8
       0.7875     1.00047         8
       0.8375     1.00066         8
       0.8875     1.00086         8
       0.9125     1.00104        12
       0.9625     1.00055         8
       1.0375     1.00088         8
       1.0875     1.00121         8
       1.1125     1.00151         8
       1.1375     1.00110        16
       1.2125     1.00098         8
       1.2625     1.00146         8
       1.2875     1.00027         8
       1.3125     1.00188         8
       1.3375     1.00220        12
       1.3625     1.00093         8
       1.4375     1.00075        16
       1.4875     1.00214         8
       1.5125     1.00259         8
       1.5375     1.00181        16
       1.5875     1.00053        16
       1.6625     1.00136        16
       1.6875     1.00287         8
       1.7125     1.00329        20
       1.7375     1.00138         8
       1.8125     1.00116        16
       1.8375     0.99859         8
       1.8625     1.00303         8
       1.8875     1.00359        24
       1.9375     0.99893        16
       1.9625     1.00214         8
       2.0125     1.00189        16
       2.0375     0.99920        24
       2.0625     1.00411         8
       2.0875     1.00190        12
       2.1375     0.99912        16
       2.1625     1.00092        16
       2.1875     1.00379         8
NODE i01j05k03                  17.62451
       0.0125     1.00010        60
       0.1375     1.00022         8
       0.1875     1.00111        16
       0.3125     1.00051         8
       0.3375     0.99967         8
       0.3625     1.00162        12
       0.4625     1.00136         8
       0.5125     1.00000         8
       0.5375     1.00188        16
       0.6125     1.00134         8
       0.6625     1.00085         8
       0.6875     1.00113         8
       0.7125     1.00219        12
       0.7375     1.00030         8
       0.7875     1.00090         8
       0.8375     1.00198         8
       0.8625     1.00226        24
       0.9125     0.99993         8
       0.9625     1.00204         8
       0.9875     1.00197        16
       1.0125     1.00261        12
       1.0375     0.99973         8
       1.0875     1.00095        16
       1.1375     1.00345        16
       1.1625     1.00115        16
       1.1875     1.00005         8
       1.2125     1.00094         8
       1.2375     1.00253         8
       1.2625     1.00052         8
       1.2875     1.00288        28
       1.3125     1.00149         8
       1.3625     1.00112        16
       1.3875     1.00129        16
       1.4125     1.00238        16
       1.4375     1.00328         8
       1.4625     1.00004        24
       1.5125     1.00188        16
       1.5375     1.00102        32
       1.5625     1.00317        12
       1.5875     0.99910         8
       1.6125     1.00072        24
       1.6375     1.00227         8
       1.6625     1.00266        32
       1.6875     1.00032        16
       1.7125     1.00139        16
       1.7375     1.00221        24
       1.7625     1.00127        24
       1.7875     1.00296        28
       1.8125     1.00096        24
       1.8375     1.00088        16
       1.8625     1.00102        32
       1.8875     1.00164        48
       1.9125     1.00053        16
       1.9375     0.99890        60
       1.9625     1.00249        24
       1.9875     1.00247        28
       2.0125     1.00209        24
       2.0375     0.99976        32
       2.0625     1.00252        64
       2.0875     1.00028        36
       2.1125     1.00278        16
       2.1375     1.00249        32
       2.1625     1.00326        52
       2.1875     1.00199        40
NODE i01j05k04                  19.16209
       0.0125     1.00136        60
       0.0875     1.00087         8
       0.1125     1.00209        16
       0.1875     1.00129         8
       0.2125     1.00206        16
       0.2875     1.00178         8
       0.3125     1.00241        16
       0.3375     1.00223         8
       0.3625     1.00207         8
       0.3875     1.00275         8
       0.4125     1.00291         8
       0.4375     1.00261        12
       0.4625     1.00201         8
       0.4875     1.00318        16
       0.5125     1.00252        24
       0.5625     1.00296         8
       0.5875     1.00348        24
       0.6125     1.00288        20
       0.6375     1.00360         8
       0.6625     1.00270        16
       0.6875     1.00332        24
       0.7125     1.00266        16
       0.7375     1.00380        24
       0.7625     1.00306        28
       0.7875     1.00324        16
       0.8125     1.00387        24
       0.8375     1.00329        32
       0.8625     1.00361        24
       0.8875     1.00429        36
       0.9125     1.00362        40
       0.9375     1.00408        32
       0.9625     1.00432        40
       0.9875     1.00440        48
       1.0125     1.00480        44
       1.0375     1.00472        56
       1.0625     1.00506        72
