! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 1815 nodes measured, 0 not measured, 21559607 pixels
! 21559607 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.925     18.70   -0.0350         56    0.8089    0.8425    0.8540
    20.925     18.70    0.0100         36    0.8774    0.8774    0.9138
    20.925     18.70    0.0350         68    0.9779    1.0048    1.0324
    20.925     18.70    0.0750         52    1.2650    1.5087    2.2049
    20.925     18.70    0.1500         70    1.7044    2.3277    3.2224
    20.925     18.90   -0.1500        672    0.8540    0.8894    0.9015
    20.925     18.90   -0.0750        196    0.8425    0.8894    0.9138
    20.925     18.90   -0.0350         68    0.8894    0.9015    0.9263
    20.925     18.90    0.0750         44    1.0185    1.0752    1.1198
    20.925     18.90    0.1500         38    1.2480    1.3722    1.5293
    20.925     19.10   -0.1500        148    0.8894    0.9138    0.9389
    20.925     19.10   -0.0750        872    0.9263    0.9389    0.9517
    20.925     19.10   -0.0350        160    0.9138    0.9517    0.9779
    20.925     19.10   -0.0100         56    0.9389    0.9389    0.9912
    20.925     19.10    0.0100         40    0.9389    0.9647    0.9647
    20.925     19.10    0.0350         20    0.9647    0.9779    1.0048
    20.925     19.10    0.0750        248    1.0048    1.0185    1.0185
    20.925     19.10    0.1500         32    1.0607    1.1351    1.1822
    20.925     19.30   -0.1500         20    0.9389    0.9389    0.9389
    20.925     19.30   -0.0750        840    0.9517    0.9647    0.9912
    20.925     19.30   -0.0350       1104    0.9779    0.9912    1.0185
    20.925     19.30   -0.0100        168    0.9779    1.0048    1.0185
    20.925     19.30    0.0100         24    1.0185    1.0185    1.0185
    20.925     19.30    0.0350         72    1.0048    1.0185    1.0185
    20.925     19.30    0.0750        212    1.0048    1.0185    1.0185
    20.925     19.50   -0.0350       1124    0.9912    1.0048    1.0185
    20.925     19.50   -0.0100      22980    1.0048    1.0185    1.0185
    20.925     19.50    0.0100      22640    1.0185    1.0185    1.0185
    20.925     19.50    0.0350        596    1.0185    1.0185    1.0185
    20.925     19.70   -0.0100      48340    1.0048    1.0048    1.0185
    20.925     19.70    0.0100      58319    1.0048    1.0185    1.0185
    20.925     19.70    0.0350       1288    1.0185    1.0185    1.0185
    20.975     17.90   -0.1500         28    0.6969    0.6969    0.7258
    20.975     17.90   -0.0750         88    0.7064    0.7160    0.7258
    20.975     17.90   -0.0350         24    0.7662    0.7767    0.7980
    20.975     17.90   -0.0100         64    0.8425    0.8425    0.8656
    20.975     17.90    0.0350         28    1.0185    1.1506    1.1983
    20.975     18.10   -0.1500        236    0.6969    0.7357    0.7662
    20.975     18.10   -0.0750        112    0.7064    0.7258    0.7767
    20.975     18.10   -0.0350         68    0.7559    0.7873    0.8540
    20.975     18.10   -0.0100         92    0.7873    0.7980    0.8311
    20.975     18.10    0.0100         24    0.8894    0.9138    0.9389
    20.975     18.10    0.0350        124    1.0324    1.1663    1.2147
    20.975     18.10    0.0750         72    1.3909    1.6815    2.3595
    20.975     18.10    0.1500         49    2.2655    2.7761    4.2255
    20.975     18.30   -0.1500        440    0.7457    0.7873    0.8425
    20.975     18.30   -0.0750        132    0.7258    0.7873    0.8425
    20.975     18.30   -0.0350         24    0.8311    0.8425    0.9015
    20.975     18.30    0.0100         36    0.8894    0.9015    0.9263
    20.975     18.30    0.0350         48    0.9912    1.0324    1.1047
    20.975     18.30    0.0750         28    1.3175    1.3722    1.4099
    20.975     18.30    0.1500         74    1.7751    2.4243    3.9487
    20.975     18.50   -0.1500        348    0.8089    0.8540    0.8774
    20.975     18.50   -0.0750         60    0.8311    0.8656    0.8656
    20.975     18.50   -0.0350         52    0.8656    0.8774    0.8894
    20.975     18.50    0.0750         36    1.0752    1.1198    1.1983
    20.975     18.50    0.1500         45    1.3909    1.6589    2.1460
    20.975     18.70   -0.1500        328    0.8656    0.9015    0.9263
    20.975     18.70   -0.0750        244    0.8894    0.9138    0.9389
    20.975     18.70   -0.0350         32    0.9138    0.9138    0.9517
    20.975     18.70   -0.0100         44    0.9263    0.9389    0.9647
    20.975     18.70    0.0100        480    0.9912    1.0048    1.0048
    20.975     18.70    0.0350        268    0.9912    1.0048    1.0048
    20.975     18.70    0.0750        104    1.0185    1.0185    1.0185
    20.975     18.70    0.1500         53    1.1506    1.1983    1.3175
    20.975     18.90   -0.1500        136    0.9138    0.9263    0.9389
    20.975     18.90   -0.0750        496    0.9389    0.9647    0.9779
    20.975     18.90   -0.0350        136    0.9517    0.9779    0.9779
    20.975     18.90   -0.0100         36    0.9647    0.9912    1.0048
    20.975     18.90    0.0100        284    1.0048    1.0048    1.0185
