# Real Aquila sources used as the target distribution for the
# injection test.  Written by build_joint_target_v3.py from
#   Aquila-Guoyin/Aquila.sw.sources.ok.cat
#   Aquila-Guoyin/Aquila.sw.sources.ok.add.cat
# Assumed distance 260 pc.  1030 sources.
#
# Columns
#   1 M_reported   reported SED mass of the source          (M_sun)
#   2 Sigma_cloud  background column density, PEAK^BGF      (cm^-2)
#   3 contrast     PEAK^SBF / PEAK^BGF, exceeds unity       (-)
#   4 AFWHM_SD     major axis at half maximum in the        (arcsec)
#                  surface-density image at 13.5 arcsec
#
# M_reported   5th   0.008244  25th     0.0471  median      0.108  75th     0.3517  95th      2.361
# Sigma_cloud  5th  2.633e+21  25th  3.695e+21  median  5.036e+21  75th  8.258e+21  95th  1.925e+22
# contrast     5th      1.107  25th      1.166  median      1.235  75th      1.369  95th      1.799
# AFWHM_SD     5th      16.21  25th       28.6  median      37.78  75th      48.34  95th      75.54
#
#     M_reported    Sigma_cloud     contrast     AFWHM_SD
    2.180189e+02   2.220000e+22      1.33595       30.460
    6.248864e-04   2.285000e+21      1.32713       14.320
    1.198513e+00   9.754000e+21      1.58848       24.200
    9.519415e-01   1.102000e+22      1.34946       55.210
    9.112357e-01   1.231000e+22      1.34890       78.860
    5.202351e-03   3.445000e+21      1.19492       15.460
    3.970759e-01   7.842000e+21      1.35756       47.790
    3.800028e-03   2.467000e+21      1.20567       14.970
    7.289761e-01   6.402000e+21      1.34567       46.620
    8.596698e-01   1.787000e+22      1.30543       43.000
    1.515537e-01   4.261000e+21      1.30767       60.120
    5.032788e-02   2.600000e+21      1.13681       51.770
    1.138737e-02   3.572000e+21      1.13194       27.390
    1.837320e+00   1.144000e+22      1.60857       38.510
    1.022731e+00   6.411000e+21      1.76790       26.960
    4.985056e-03   3.064000e+21      1.15313       15.810
    8.196035e-02   6.629000e+21      1.19068       47.000
    2.574429e-02   3.835000e+21      1.19301       30.580
    7.048751e-01   1.245000e+22      1.73855       27.800
    1.709741e-01   8.763000e+21      1.59432       20.550
    5.753671e-01   7.280000e+21      1.33104       69.640
    3.383949e-01   2.304000e+22      1.41085       29.580
    4.303390e-02   5.327000e+21      1.18451       40.930
    4.231484e-02   3.541000e+21      1.19430       44.470
    1.028504e-01   4.122000e+21      1.25473       48.740
    9.456998e-01   1.384000e+22      1.25759       83.120
    2.509165e-01   9.000000e+21      1.20889       73.850
    3.206919e-01   9.881000e+21      1.35583       39.570
    5.778723e-02   3.959000e+21      1.22690       38.060
    3.425250e-01   9.394000e+21      1.30999       45.130
    4.041393e-01   1.096000e+22      1.37856       50.680
    9.749324e-04   2.992000e+21      1.16822       14.440
    9.622882e-01   1.671000e+22      1.59258       34.760
    6.815276e-01   1.058000e+22      1.33979       50.660
    7.249245e-01   9.321000e+21      1.21511      109.500
    5.047404e-04   2.388000e+21      1.19041       14.330
    4.156880e-02   3.736000e+21      1.14269       55.480
    7.827775e-01   1.914000e+22      1.71891       20.150
    3.980904e-01   5.044000e+21      1.25575       69.090
    8.750160e-02   4.337000e+21      1.25202       39.900
    2.711226e+00   3.252000e+22      1.39637       59.820
    3.145343e-02   4.084000e+21      1.14116       40.800
    9.785384e-03   3.708000e+21      1.18247       18.990
    2.523238e-01   7.141000e+21      1.65383       32.370
